t # 7
v 0 3
v 1 3
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 2
v 15 2
v 16 0
v 17 2
v 18 1
v 19 2
v 20 1
v 21 1
v 22 1
v 23 2
v 24 2
v 25 2
v 26 2
v 27 2
v 28 0
v 29 2
v 30 2
v 31 1
v 32 1
v 33 1
v 34 2
v 35 3
v 36 3
v 37 2
v 38 2
v 39 2
v 40 2
v 41 2
v 42 2
v 43 2
v 44 2
v 45 2
v 46 1
v 47 2
e 0 1 1
e 0 2 0
e 1 3 0
e 2 4 3
e 2 5 3
e 3 6 3
e 3 7 3
e 4 8 3
e 4 9 3
e 5 10 3
e 6 11 3
e 7 12 3
e 8 13 3
e 8 14 3
e 9 15 3
e 10 13 3
e 11 16 0
e 11 17 3
e 12 17 3
e 13 18 0
e 14 19 3
e 15 19 3
e 16 20 1
e 16 21 1
e 16 22 0
e 17 23 0
e 23 24 1
e 24 25 0
e 25 26 3
e 25 27 3
e 26 28 0
e 26 29 3
e 27 30 3
e 28 31 1
e 28 32 1
e 28 33 0
e 29 34 3
e 30 34 3
e 34 35 0
e 35 36 1
e 36 37 0
e 37 38 3
e 37 39 3
e 38 40 3
e 38 41 3
e 39 42 3
e 40 43 3
e 40 44 3
e 41 45 3
e 42 43 3
e 43 46 0
e 44 47 3
e 45 47 3
