t # 17
v 0 3
v 1 3
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 2
v 15 2
v 16 2
v 17 2
v 18 2
v 19 2
v 20 3
v 21 2
v 22 0
v 23 3
v 24 2
v 25 3
v 26 1
v 27 1
v 28 1
v 29 3
v 30 0
v 31 2
v 32 2
v 33 1
v 34 1
v 35 1
v 36 2
v 37 2
v 38 2
v 39 2
v 40 1
v 41 2
v 42 2
v 43 2
v 44 2
v 45 2
v 46 2
v 47 0
v 48 2
v 49 2
v 50 2
v 51 1
v 52 1
v 53 1
v 54 3
v 55 2
e 0 1 1
e 0 2 0
e 1 3 0
e 2 4 3
e 2 5 3
e 3 6 3
e 3 7 3
e 4 8 3
e 4 9 3
e 5 10 3
e 6 11 3
e 6 12 3
e 7 13 3
e 8 14 3
e 8 15 3
e 9 16 3
e 10 14 3
e 11 17 3
e 11 18 3
e 12 19 3
e 13 17 3
e 14 20 0
e 15 21 3
e 16 22 0
e 16 21 3
e 17 23 0
e 18 24 3
e 19 24 3
e 20 25 1
e 22 26 1
e 22 27 1
e 22 28 0
e 23 29 1
e 24 30 0
e 25 31 0
e 29 32 0
e 30 33 1
e 30 34 1
e 30 35 0
e 31 36 3
e 31 37 3
e 32 38 3
e 32 39 3
e 36 40 0
e 36 41 3
e 37 42 3
e 38 43 3
e 39 44 3
e 41 45 3
e 41 46 3
e 42 47 0
e 42 45 3
e 43 48 3
e 44 48 3
e 45 49 3
e 46 50 3
e 47 51 1
e 47 52 1
e 47 53 0
e 48 54 0
e 49 55 3
e 50 55 3
